Content,Date,User
"No es para presumir, da pena.

Los migrantes mandan más recursos por el poco apoyo que recibimos, no es motivo de orgullo, nada que presumir.

El peor momento con el peor gobierno.

Por cierto veo que ud vive ATM rodeado de lujos mientras hay hambre, así es la incongruencia.",28 ago.,@QuiqueVallarino
"El hacer tantos ademanes es una muestra de la desesperación que traes encima, mi estimado costal de pretextos.
Tú y Morena no son crisis, son dos tipos de cáncer que están atacando a México como nunca antes en la historia.",28 ago.,@StarwalkLucifer
"LOS NIÑOS CON CANCER SIGUEN SIN TRATAMIENTOS.

LOS NIÑOS CON CANCER SIGUEN SIN TRATAMIENTOS.

LOS NIÑOS CON CANCER SIGUEN SIN TRATAMIENTOS.

LOS NIÑOS CON CANCER SIGUEN SIN TRATAMIENTOS.

LOS NIÑOS CON CANCER SIGUEN SIN TRATAMIENTOS.",28 ago.,@ISROAGM
"Ordenaste liberar al hijo del Chapo y luego fuiste a visitar a su mamá y abogado.

Ese es NARCOESTADO.",28 ago.,@ponchoherrera
"Cero corrupción? 
Seguramente la vas a patentar como marca registrada de tu familia.
Ya verás cuánta putrefacción saldrá de las acciones de tus operadores y familiares corruptos!",28 ago.,@Raraban
"Don Andrés, le busca Ovidio.",28 ago.,@rtraconis
"El dinero que recibió tu hermano es corrupción, es un  delito del que además aceptaste formar parte.

Y el narcoestado jamás había sido tan claro como ahora",28 ago.,@MariettoPonce
"Jajajajajaja Pinche cinismo cuando en Michoacán están en guerra.

Cuando el gobierno no hace nada para frenar la delincuencia en ese estado. 

No cabe duda que son unos mentirosos e hipócritas. #Exijemexico",27 ago.,@Yojhan54532638
"Q cinismo.  Deja en libertad a Ovidio, come con el Cartel de Sinaloa, el pio gate.  Increíble",27 ago.,@MonomitoMex
"Repugnante Anciano Decrépito y Mitómano 

Fallido Presidente 

Tu eres el títere de un narco estado.  Todo el mundo lo ve.",27 ago.,@XoloElvis
"Si, solos y sin ti nos defendemos mejor.

Muy bien por ti que aceptas en esa declaración que no sirves para nada.

Como si no hubiera  presidente, si, somos mucha pieza para tan enano presidente, por eso salimos adelante solos.",28 ago.,@vaqueronight63
Dicen que Ricardo Monreal quiere el lugar de AMLO croe que es mentira pero. No se,28 ago.,@RalRodr82535915
"Tu eres protector del narco, vivimos en un narco estado porque son tus patrocinadores no te hagas pendejo. Nunca hablas en contra de ellos. Los justificas, los consideras pueblo©️. Hipócrita de porquería.",28 ago.,@DMuffin2020
18 años en campaña no fueron suficientes kks???,28 ago.,@CandyHoneyLiz
Reitero hay un video de tu hermano recibiendo soborno y no lo presentaste en tu circos mañaneros! No he visto que enjuicien al corrupto de Barbosa o que hagas algo por los ventiladores a sobreprecio!! eres la misma mierda de la que tanto te quejas!! #ElCacas #ElCacasCorrupto,28 ago.,@MGuerrero92
Empieza con el ejemplo de verdad estás Demente!!!!! #AMLOelPeorPresidenteDelMundo #AmloCorruptoMafioso,28 ago.,@cyntia38254168
"López Obrador dice que está pacificando al país 🤨
Los homicidios y la delincuencia han roto récords en su sexenio.

Ya no habrá un Garcia Luna en el gobierno, pero si hay puro inútil que ha permitido a la violencia y a la impunidad crecer desenfrenadamente. 
 ¿En qué país vive?",27 ago.,@aracelibs
Queremos a Felipe Calderón en la cárcel cabecita de algodón 🇲🇽♥️,27 ago.,@nayeli786
"@lopezobrador_ no permitas que Eduardo Ramírez presida el Senado lo conocemos en Chiapas y es un corrupto le dará mala imagen a la 4T, estamos contigo pero no permitas esas cosas",27 ago.,@manuel_rojas12
"Estamos contigo, del lado de la honradez.
Queremos juicio a expresidentes.",27 ago.,@hhmarlau
A los únicos que no ha traicionado es los que jamás hemos creído en usted. Está haciéndolo tan mal como lo predijimos.,27 ago.,@EIJefeDiego
"Demasiado tarde, traicionaste la confianza y aceptaste haber cometido un delito, ¿estás pidiendo disculpas? Por que para promesas ya no la hiciste...",27 ago.,@ReginadelC
"¿Humanismo?

¿Cuando por tus caprichos has empobrecido a México y causado miles de muertos?

¡Hipócrita!

¡Sepulcro blanqueado!

¡Vividor!",27 ago.,@HectorSisan
"No será el 30%, sólo el que te apoya?",27 ago.,@Fryre3
"Ya lo hizo señito, no solo la confianza, nuestra nacionalidad, soberanía, paz, economía y la más grave, nuestra salud.",27 ago.,@chaosoda1
"El pueblo necesita conocimiento.  @Conacyt_MX .Rechazada por CONACyt con oferta doctoral en Universidad de Warwick con un proyecto enfocado a la modelación estadística de la demanda hospitalaria de COVID-19. 
@FelipeCalderon @CarlosLoret @hectorslimseade",27 ago.,@CuevasIlse
Ponte a Trabajar Huevón Farsante.,26 ago.,@JONATHA83425585
"#yonosoyel70porciento
Mitomanía -Es un problema al que se le debe prestar atención. Es un trastorno psicológico que consiste en una conducta repetitiva del acto de mentir. Por medio de sus mentiras, el mitómano busca beneficios inmediatos.",26 ago.,@lhestudios
"Ya la traicionaste, corrupto, admitiste cínicamente haber cometido un delito electoral grave.",26 ago.,@MariettoPonce
"Fachos, HDSPM, repitan conmigo:

☑️ El 70% respalda al Pdte López Obrador.

Punto.",26 ago.,@Berexun
"Como es costumbre, al primate resentido no se le dan los números. El desquiciado es @lopezobrador_",26 ago.,@elequipomx
"El 70%....yo diria el 90% estamos felices contigo

El otro 10% son los tipicos tranzas, vividores  PRIANISTAS",26 ago.,@forozcolg
"No, ni apoyo ni confianza. Además de asesino, genocida, corrupto y ladrón, es ud. muy tonto, limitado, obtuso. Si más de 60,000 asesinatos y 200,000 muertos por covid-19, quebrar pemex y cfe, dejar a más de 12 millones sin ingresos, no es traición, no se que lo sea. Lárguese ya.",26 ago.,@renebmex
Puras mentiras ese 70 % que compre tus cachitos que andan como desesperados que no se venden.,26 ago.,@Nestor47876269
